Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,00:29:56,1.03,-0.20,-0.00,31.02,984.12,32.24,243.09,245.74,17706,5522,1242,91,20,0,71,117,124,182.75,85.15
1/1/2000 Sat.,00:29:57,1.03,-0.20,-0.00,30.88,984.08,31.87,237.44,245.57,17565,5499,1238,99,22,0,71,117,124,182.75,85.15
1/1/2000 Sat.,00:29:57,1.03,-0.30,-0.00,30.94,984.13,31.80,257.05,245.57,17565,5499,1238,99,22,0,74,121,130,184.82,88.12
1/1/2000 Sat.,00:29:58,1.03,0.00,0.00,31.09,984.10,31.65,266.69,245.40,17565,5499,1238,99,22,0,74,121,130,184.82,88.12
1/1/2000 Sat.,00:29:59,1.03,-0.10,-0.00,31.21,984.10,31.49,275.69,245.32,17385,5448,1220,92,20,0,74,119,127,183.79,86.64
1/1/2000 Sat.,00:30:00,1.03,-0.10,-0.00,31.30,984.13,31.33,281.63,245.32,17385,5448,1220,92,20,0,73,117,124,182.75,85.15
1/1/2000 Sat.,00:30:00,1.03,-0.20,-0.00,31.35,984.10,31.19,286.32,245.40,17385,5448,1220,92,20,0,73,117,124,182.75,85.15
1/1/2000 Sat.,00:30:01,1.03,0.00,0.00,31.40,984.13,31.04,289.87,245.32,17238,5386,1185,95,18,0,72,116,122,182.24,84.16
1/1/2000 Sat.,00:30:02,1.04,0.10,0.00,31.43,984.13,30.90,292.73,245.32,17238,5386,1185,95,18,0,72,116,122,182.24,84.16
1/1/2000 Sat.,00:30:03,1.03,0.00,0.00,31.45,984.13,30.79,295.91,245.32,17238,5386,1185,95,18,0,71,115,121,181.72,83.67
1/1/2000 Sat.,00:30:04,1.03,-0.30,-0.00,31.44,984.13,30.66,295.64,245.32,17217,5386,1207,101,18,0,70,116,123,182.24,84.66
1/1/2000 Sat.,00:30:04,1.03,0.10,0.00,31.42,984.15,30.55,293.78,245.14,17217,5386,1207,101,18,0,70,116,123,182.24,84.66
1/1/2000 Sat.,00:30:05,1.03,0.00,0.00,31.40,984.12,30.46,294.57,245.14,17217,5386,1207,101,18,0,71,117,124,182.75,85.15
1/1/2000 Sat.,00:30:06,1.03,0.10,0.00,31.34,984.13,30.38,291.68,245.32,17424,5452,1214,110,20,0,72,119,127,183.79,86.64
1/1/2000 Sat.,00:30:07,1.03,0.10,0.00,31.33,984.12,30.33,293.78,245.40,17424,5452,1214,110,20,0,72,119,127,183.79,86.64
1/1/2000 Sat.,00:30:08,1.03,0.10,0.00,31.35,984.12,30.32,293.25,245.40,17424,5452,1214,110,20,0,72,119,127,183.79,86.64
