Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
2/28/2020 Fri.,15:35:29,7.28,-0.20,-0.00,27.84,992.75,19.84,789.47,171.92,1089,240,36,14,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:29,7.28,-0.60,-0.00,27.63,992.73,19.82,776.61,172.09,1089,240,36,14,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:30,7.28,-0.20,-0.00,27.64,992.75,19.90,783.91,171.92,1089,240,36,14,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:31,7.28,-0.40,-0.00,27.76,992.75,19.93,785.76,172.26,1101,247,34,13,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:32,7.28,-0.40,-0.00,27.86,992.77,19.95,788.54,171.92,1101,247,34,13,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:33,7.28,-0.50,-0.00,27.94,992.77,19.97,790.41,171.92,1101,247,34,13,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:33,7.28,0.00,0.00,27.99,992.79,19.96,796.06,171.92,1086,243,32,12,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:34,7.28,-0.20,-0.00,28.02,992.77,19.94,797.97,171.76,1086,243,32,12,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:35,7.28,-0.10,-0.00,28.05,992.79,19.94,801.80,171.76,1086,243,32,12,3,2,4,7,9,29.17,8.33
2/28/2020 Fri.,15:35:36,7.28,-0.30,-0.00,28.06,992.77,19.89,802.28,171.92,1143,270,34,14,6,3,4,7,11,29.17,10.19
2/28/2020 Fri.,15:35:36,7.28,-0.60,-0.00,28.08,992.77,19.85,805.67,171.92,1143,270,34,14,6,3,4,7,11,29.17,10.19
2/28/2020 Fri.,15:35:37,7.28,-0.40,-0.00,28.06,992.77,19.80,804.70,171.92,1143,270,34,14,6,3,4,7,11,29.17,10.19
2/28/2020 Fri.,15:35:38,7.28,-0.40,-0.00,27.98,992.75,19.78,807.13,172.26,3555,1054,632,335,178,104,11,46,127,126.85,86.64
2/28/2020 Fri.,15:35:39,7.28,-0.40,-0.00,27.90,992.75,19.74,802.77,172.09,5499,1696,1217,685,360,237,15,78,253,162.62,149.51
