Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:32:08,6.32,87.30,0.55,27.24,1001.89,19.92,2055.43,95.18,1137,226,31,2,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:32:09,6.30,83.20,0.52,27.05,1001.87,19.80,2027.33,95.01,1197,239,35,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:10,6.27,104.50,0.66,27.08,1001.89,19.78,2061.78,95.18,1197,239,35,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:11,6.27,101.70,0.64,27.20,1001.89,19.74,2069.77,95.01,1197,239,35,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:11,6.31,86.40,0.55,27.31,1001.89,19.65,2074.59,94.84,1371,281,56,9,1,1,5,9,11,37.50,10.19
1/1/2000 Sat.,01:32:12,6.32,87.70,0.55,27.39,1001.89,19.57,2077.82,95.01,1356,267,50,10,1,1,4,9,10,37.50,9.26
1/1/2000 Sat.,01:32:13,6.28,104.60,0.66,27.42,1001.91,19.45,2084.31,95.01,1326,264,50,11,1,1,4,8,11,33.33,10.19
1/1/2000 Sat.,01:32:14,6.26,96.70,0.61,27.34,1001.91,19.32,2064.96,95.01,1188,246,50,11,1,1,4,8,10,33.33,9.26
1/1/2000 Sat.,01:32:15,6.27,106.70,0.67,27.26,1001.89,19.20,2090.84,95.01,1050,231,55,12,1,1,4,8,12,33.33,11.11
1/1/2000 Sat.,01:32:16,6.28,105.20,0.66,27.20,1001.91,19.07,2104.02,95.18,1158,256,58,13,1,1,4,8,13,33.33,12.04
1/1/2000 Sat.,01:32:17,6.26,105.80,0.66,27.16,1001.89,18.97,2084.31,95.01,1137,248,54,13,1,1,4,8,13,33.33,12.04
1/1/2000 Sat.,01:32:18,6.27,104.70,0.66,27.13,1001.87,18.86,2090.84,94.84,1137,254,54,14,1,1,4,8,13,33.33,12.04
1/1/2000 Sat.,01:32:19,6.27,103.90,0.65,27.12,1001.87,18.79,2097.41,95.01,1107,242,56,17,1,1,3,8,14,33.33,12.96
1/1/2000 Sat.,01:32:20,6.28,106.50,0.67,27.10,1001.87,18.71,2094.12,95.18,1020,229,58,20,1,1,3,9,14,37.50,12.96
1/1/2000 Sat.,01:32:21,6.26,97.10,0.61,27.11,1001.87,18.66,2077.82,94.84,879,189,42,14,0,0,2,5,9,20.83,8.33
1/1/2000 Sat.,01:32:22,6.27,106.70,0.67,27.13,1001.87,18.60,2097.41,94.84,894,196,40,14,0,0,2,5,10,20.83,9.26
1/1/2000 Sat.,01:32:22,6.31,87.60,0.55,27.14,1001.87,18.54,2090.84,95.01,867,187,42,14,0,0,2,5,9,20.83,8.33
1/1/2000 Sat.,01:32:23,6.31,84.20,0.53,27.19,1001.91,18.52,2104.02,95.01,867,187,42,14,0,0,2,6,9,25.00,8.33
1/1/2000 Sat.,01:32:24,6.27,96.20,0.60,27.24,1001.89,18.49,2104.02,95.01,867,187,42,14,0,0,2,6,9,25.00,8.33
1/1/2000 Sat.,01:32:25,6.32,77.30,0.49,27.23,1001.91,18.45,2072.98,95.01,900,187,40,13,0,0,2,6,9,25.00,8.33
1/1/2000 Sat.,01:32:26,6.30,78.80,0.50,27.25,1001.89,18.43,2090.84,95.18,900,187,40,13,0,0,2,5,9,20.83,8.33
